,website_title,all_urls,all_paragraphs
246,,,"The closest() method returns the nearest parent of a given Tag
that matches a CSS selector, similar to Beautiful Soup's
find_parent() method:"
247,,,"The match() method returns a Boolean depending on whether or not a
specific Tag matches a selector:"
248,,,"The filter() method returns the subset of a tag's direct children
that match a selector:"
249,,,"The escape() method escapes CSS identifiers that would otherwise
be invalid:"
250,,,"If you've parsed XML that defines namespaces, you can use them in CSS
selectors.:"
251,,,"Beautiful Soup tries to use namespace prefixes that make sense based
on what it saw while parsing the document, but you can always provide
your own dictionary of abbreviations:"
252,,,"The .css property was added in Beautiful Soup 4.12.0. Prior to this,
only the .select() and .select_one() convenience methods were
supported."
253,,,"The Soup Sieve integration was added in Beautiful Soup 4.7.0. Earlier
versions had the .select() method, but only the most commonly-used
CSS selectors were supported."
254,,,"Beautiful Soup's main strength is in searching the parse tree, but you
can also modify the tree and write your changes as a new HTML or XML
document."
255,,,"I covered this earlier, in Tag.attrs, but it bears repeating. You
can rename a tag, change the values of its attributes, add new
attributes, and delete attributes:"
256,,,"If you set a tag's .string attribute to a new string, the tag's contents are
replaced with that string:"
257,,,"Be careful: if the tag contained other tags, they and all their
contents will be destroyed."
258,,,"You can add to a tag's contents with Tag.append(). It works just
like calling .append() on a Python list:"
259,,,Tag.append() returns the newly appended element.
260,,,"Starting in Beautiful Soup 4.7.0, Tag also supports a method
called .extend(), which adds every element of a list to a Tag,
in order:"
261,,,Tag.extend() returns the list of appended elements.
262,,,"If you need to add a string to a document, no problem—you can pass a
Python string in to append(), or you can call the NavigableString
constructor:"
263,,,"If you want to create a comment or some other subclass of
NavigableString, just call the constructor:"
264,,,(This is a new feature in Beautiful Soup 4.4.0.)
265,,,"What if you need to create a whole new tag? The best solution is to
call the factory method BeautifulSoup.new_tag():"
266,,,"Only the first argument, the tag name, is required."
267,,,(The ``string`` argument to ``new_tag`` was introduced in Beautiful Soup 4.13.0.)
268,,,"Because insertion methods return the newly inserted element, you
can create, insert, and obtain an element in one step:"
269,,,"Tag.insert() is just like Tag.append(), except the new element
doesn't necessarily go at the end of its parent's
.contents. It will be inserted at whatever numeric position you
say, similar to .insert() on a Python list:"
270,,,"You can pass more than one element into Tag.insert(). All the
elements will be inserted, starting at the numeric position you
provide."
