IP,DATE,URL,website_title,all_urls,all_paragraphs
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://pyfound.blogspot.com/2025/07/notice-of-python-software-foundation.html,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://pythoninsider.blogspot.com/2025/07/python-3140-beta-4-is-here.html,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://www.djangoproject.com/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://www.pylonsproject.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://bottlepy.org,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://tornadoweb.org,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://flask.pocoo.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://www.web2py.com/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://wiki.python.org/moin/TkInter,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://wiki.gnome.org/Projects/PyGObject,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://www.riverbankcomputing.co.uk/software/pyqt/intro,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://wiki.qt.io/PySide,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://kivy.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://www.wxpython.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://dearpygui.readthedocs.io/en/latest/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://www.scipy.org,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://pandas.pydata.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://ipython.org,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://buildbot.net/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://trac.edgewall.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://roundup.sourceforge.net/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://www.ansible.com,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://saltproject.io,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://www.openstack.org,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://xon.sh,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://brochure.getpython.info/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://docs.python.org/3/license.html,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://wiki.python.org/moin/BeginnersGuide,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://devguide.python.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://docs.python.org/faq/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://wiki.python.org/moin/Languages,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://peps.python.org,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://wiki.python.org/moin/PythonBooks,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://wiki.python.org/moin/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://pyfound.blogspot.com/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://pycon.blogspot.com/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,http://planetpython.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://wiki.python.org/moin/PythonEventsCalendar#Submitting_an_Event,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://devguide.python.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://github.com/python/cpython/issues,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://mail.python.org/mailman/listinfo/python-dev,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://github.com/python/pythondotorg/issues,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://status.python.org/,
127.0.0.1,1970-01-01,www.xyzabc.com,New Title,https://policies.python.org/python.org/Privacy-Notice/,
